Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,
Urban green space and happiness in developed countries,"Kwon, OH; Hong, I; Yang, J; Wohn, DY; Jung, WS; Cha, M","Urban green space is thought to contribute to citizen happiness by promoting physical and mental health. Nevertheless, how urban green space and happiness are related across many countries with different socioeconomic conditions has not been explored. By measuring the urban green space score (UGS) from high-resolution satellite imagery of 90 global cities covering 179,168 km(2) and 230 million people in 60 developed countries, we find that the amount of urban green space and GDP are correlated with a nation's happiness level. More specifically, urban green space and GDP are each individually associated with happiness. Yet, only urban green space is related to happiness in the 30 wealthiest countries, whereas GDP alone can explain happiness in the subsequent 30 countries in terms of wealth. We further show that the relationship between urban green space and happiness is mediated by social support and that GDP moderates this relationship. These findings corroborate the importance of maintaining urban green space as a place for social cohesion to support people's happiness.",2021,,EPJ DATA SCIENCE,10,1,,WOS:000656076000001,10.1140/epjds/s13688-021-00278-7,,#3,Kwon 2021,
Residential green space quantity and quality and symptoms of psychological distress: a 15-year longitudinal study of 3897 women in postpartum,"Feng, XQ; Astell-Burt, T","Background: Experiments and large-scale epidemiological studies indicate the importance of green space for mental health. However, little research has been conducted to elucidate whether these mental health benefits are more dependent upon the quantity or quality of the green space.Methods: Symptoms of psychological distress were measured in 3897 women who did not change neighbourhood up to 15 years postpartum using the Kessler 6 psychological distress scale from 2004 onwards. The percentage land-use of the neighbourhood was used to ascertain a measure of green space quantity. A Likert scale was used to measure green space quality in response to the statement ""there are good parks, playgrounds and play spaces in this neighbourhood."" Multilevel negative binomial growth curve regression models were used to examine the patterning of symptoms of psychological distress across the postpartum period in relation to green space quantity and quality, adjusting for person-level and geographical markers of confounding. The same variables were also fitted in multilevel logistic regressions to examine the odds of reporting serious mental illness (as defined by K6 scores >= 13 out of 24).Results: Symptoms of psychological distress were fewer among women who agreed (rate ratio (RR) 0.95, 95% CI 0.91 to 0.98) and strongly agreed (RR 0.89, 95% CI 0.85 to 0.93) local parks were good quality. The odds of reporting serious mental illness were also lower among women who agreed (odds ratio (OR) 0.88, 95% CI 0.77 to 1.00) and strongly agreed (OR 0.74, 95% CI 0.64 to 0.86) local parks were good quality. No association was found between green space quantity and symptoms of psychological distress or the odds of reporting serious mental illness.Conclusions: This study suggests it may be how mothers perceive green space nearby and what those spaces enable them to do, rather than simply how much there is overall, that is important for promoting mental health in the postpartum period. In conclusion, community consultation is likely to be a crucial part of strategies that maximise the health benefits of urban greening for everyone.",2018,,BMC PSYCHIATRY,18,,,WOS:000460056200001,10.1186/s12888-018-1926-1,,#6,Feng 2018,
Residential green space in childhood is associated with lower risk of psychiatric disorders from adolescence into adulthood,"Engemann, K; Pedersen, CB; Arge, L; Tsirogiannis, C; Mortensen, PB; Svenning, JC","Urban residence is associated with a higher risk of some psychiatric disorders, but the underlying drivers remain unknown. There is increasing evidence that the level of exposure to natural environments impacts mental health, but few large-scale epidemiological studies have assessed the general existence and importance of such associations. Here, we investigate the prospective association between green space and mental health in the Danish population. Green space presence was assessed at the individual level using high-resolution satellite data to calculate the normalized difference vegetation index within a 210 x 210 m square around each person's place of residence (similar to 1 million people) from birth to the age of 10. We show that high levels of green space presence during childhood are associated with lower risk of a wide spectrum of psychiatric disorders later in life. Risk for subsequent mental illness for those who lived with the lowest level of green space during childhood was up to 55% higher across various disorders compared with those who lived with the highest level of green space. The association remained even after adjusting for urbanization, socioeconomic factors, parental history of mental illness, and parental age. Stronger association of cumulative green space presence during childhood compared with single-year green space presence suggests that presence throughout childhood is important. Our results show that green space during childhood is associated with better mental health, supporting efforts to better integrate natural environments into urban planning and childhood life.",2019,,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,116,11,5188-5193,WOS:000460911500068,10.1073/pnas.1807504116,,#7,Engemann 2019,
"Noncommunicable Diseases, Park Prescriptions, and Urban Green Space Use Patterns in a Global South Context: The Case of Dhaka, Bangladesh","Labib, SM; Shuvo, FK; Browning, MHEM; Rigolon, A","Urban green space use is often associated with improved physical and mental health and lower noncommunicable disease (NCDs) burdens. Factors that influence green space visits have been documented in cities of the Global North, but evidence of urban green space use patterns for cities in the Global South is scarce. The aim of this study is to investigate factors influencing urban green space use patterns in Dhaka, Bangladesh, a megacity of the Global South, with a particular focus on how poor health condition and healthcare professionals' prescriptions to exercise outdoors (park prescriptions-ParkRx) impact the green space use of middle-aged adults. We collected green space characteristics and use factors (i.e., availability, accessibility, attractiveness, and attachment), health condition, ParkRx, and urban green space use intensity (i.e., frequency and duration) via a self-reported questionnaire from 169 middle-aged residents of Dhaka. We used multivariate modeling to estimate the association of green space characteristics, health condition, and ParkRx with use intensity. We further applied a mediation analysis to determine the influence of ParkRx on the relationship between residents' poor health conditions and use intensity. We found that green space availability and accessibility did not significantly influence use intensity, but attractiveness was negatively associated with use intensity. Green space use intensity was significantly and positively associated with attachment to the green space, poor health condition (i.e., having noncommunicable diseases), and ParkRx. ParkRx significantly mediated the relationship between health condition and use intensity. We observed limited supply, poor access, and low attractiveness when studying the urban green spaces in Dhaka, but these qualities did not affect use intensity, as found in many case studies in the Global North. In contrast, urban green space use intensity in our case study is mostly dependent on poor health condition and park prescriptions.",2020,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,17,11,,WOS:000542629600153,10.3390/ijerph17113900,,#10,Labib 2020,
Would You Be Happier Living in a Greener Urban Area? A Fixed-Effects Analysis of Panel Data,"White, MP; Alcock, I; Wheeler, BW; Depledge, MH","Urbanization is a potential threat to mental health and well-being. Cross-sectional evidence suggests that living closer to urban green spaces, such as parks, is associated with lower mental distress. However, earlier research was unable to control for time-invariant heterogeneity (e.g., personality) and focused on indicators of poor psychological health. The current research advances the field by using panel data from over 10,000 individuals to explore the relation between urban green space and well-being (indexed by ratings of life satisfaction) and between urban green space and mental distress (indexed by General Health Questionnaire scores) for the same people over time. Controlling for individual and regional covariates, we found that, on average, individuals have both lower mental distress and higher well-being when living in urban areas with more green space. Although effects at the individual level were small, the potential cumulative benefit at the community level highlights the importance of policies to protect and promote urban green spaces for well-being.",2013,,PSYCHOLOGICAL SCIENCE,24,6,920-928,WOS:000320026000012,10.1177/0956797612464659,,#12,White 2013,
"Public green spaces and positive mental health - investigating the relationship between access, quantity and types of parks and mental wellbeing","Wood, L; Hooper, P; Foster, S; Bull, F","Associations between parks and mental health have typically been investigated in relation to the presence or absence of mental illness. This study uses a validated measure of positive mental health and data from RESIDential Environments (RESIDE) Project to investigate the association between the presence, amount and attributes of public green space in new greenfield neighbourhood developments and the mental health of local residents (n = 492). Both the overall number and total area of public green spaces were significantly associated with greater mental wellbeing, and findings support a dose-response relationship. Positive mental health was not only associated with parks with a nature focus, but also with green spaces characterised by recreational and sporting activity. The study demonstrates that adequate provision of public green space in local neighbourhoods and within walking distance is important for positive mental health.",2017,,HEALTH & PLACE,48,,63-71,WOS:000414855600008,10.1016/j.healthplace.2017.09.002,,#14,Wood 2017,
The Contribution to Stress Recovery and Attention Restoration Potential of Exposure to Urban Green Spaces in Low-Density Residential Areas,"Huang, SP; Qi, JD; Li, W; Dong, JW; van den Bosch, CK","This study assessed the contributions of urban green spaces on mental health with joint consideration of people's physiological and psychological responses. The psychological and physiological responses of participants aged between 22 and 28, who visited green spaces in a low-density area of Fuzhou, Fujian Province, China, were measured using Perceived Restorativeness Scale (PRS) methods and biometric wearable sensing devices, respectively. Results showed that exposure to green space led to significant changes in PRS, electrodermal activity (EDA), facial electromyography (EMG), respiration sensor (RESP), and photoplethysmography (PPG), while there is no significant impact on skin temperature (SKT). Additionally, psychological and physiological responses were highly consistent and correlated (R < 0.8). The results also indicated that green spaces with high plant species richness, a water landscape, bumpy ground, cultural landscape, and without roadways presented a high performance on stress recovery and attention restoration. At the same time, the influence of openness was negligible in the low-density area. The study provides planners and landscape designers with specific guidance for implementing urban green spaces to improve mental health in low-density residential areas.",2021,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,18,16,,WOS:000690646600001,10.3390/ijerph18168713,,#19,Huang 2021,
Green Space for Mental Health in the COVID-19 Era: A Pathway Analysis in Residential Green Space Users,"Li, H; Browning, MHEM; Dzhambov, AM; Zhang, GD; Cao, Y","Residential green space is among the most accessible types of urban green spaces and may help maintain mental health during the COVID-19 pandemic. However, it is insufficiently understood how residents use residential green space for exercise during the epidemic. The pathways between residential green space and mental health also merit further exploration. Therefore, we conducted an online study among Chinese residents in December 2021 to capture data on engagement with urban green space for green exercise, the frequency of green exercise, perceived pollution in green space, perceptions of residential green space, social cohesion, depression, and anxiety. Among the 1208 respondents who engaged in green exercise last month, 967 (80%) reported that green exercise primarily occurred in residential neighborhoods. The rest (20%) reported that green exercise occurred in more distant urban green spaces. The most common reasons that respondents sought green exercise in urban green spaces were better air and environmental qualities. Structural equation modeling (SEM) was then employed to explore the pathways between the perceived greenness of residential neighborhoods and mental health among respondents who used residential green space for exercise. The final model suggested that residential green space was negatively associated with anxiety (beta = -0.30, p = 0.001) and depression (beta = -0.33, p < 0.001), mainly through indirect pathways. Perceived pollution and social cohesion were the two mediators that contributed to most of the indirect effects. Perceived pollution was also indirectly associated with green exercise through less social cohesion (beta = -0.04, p = 0.010). These findings suggest a potential framework to understand the mental health benefits of residential green space and its accompanying pathways during the COVID-19 era.",2022,,LAND,11,8,,WOS:000845589400001,10.3390/land11081128,,#20,Li 2022,
Urban green space alone is not enough: A landscape analysis linking the spatial distribution of urban green space to mental health in the city of Chicago,"Ha, J; Kim, HJ; With, KA","Research on the association between urban green space and mental health has largely focused on the presence or quantity of green space, rather than on the spatial distribution of green spaces within the urban landscape. We therefore investigated the relationship between the amount, composition, and spatial distribution of urban green space and the level of psychological distress reported by residents of a large metropolitan city (Chicago, Illinois, USA). We used mental health data collected from 6405 residents in 61 communities by the Chicago Department of Public Health as part of their Healthy Chicago Survey, and quantified landscape metrics related to the amount and configuration of green space within these community 'landscapes'. Using generalized linear mixed models that controlled for socio-economic confounds, we found that residents reported less psychological distress within urban landscapes that had small-sized water bodies and greater distances between forested areas, which tend to characterize the distribution of large forest parks throughout Chicago. In terms of total green space, however, psychological distress levels were lower in landscapes having a disaggregated distribution of urban green spaces (i.e., many small green spaces) relative to a single (or a few) large green spaces. Our study thus highlights that the configuration of urban green space may be as important as the amount of green space to the mental health of urban residents.",2022,,LANDSCAPE AND URBAN PLANNING,218,,,WOS:000725593300004,10.1016/j.landurbplan.2021.104309,,#22,Ha 2022,
Green Space Attachment and Health: A Comparative Study in Two Urban Neighborhoods,"Zhang, Y; van Dijk, T; Tang, JJ; van den Berg, AE","The positive relationships between urban green space and health have been well documented. Little is known, however, about the role of residents' emotional attachment to local green spaces in these relationships, and how attachment to green spaces and health may be promoted by the availability of accessible and usable green spaces. The present research aimed to examine the links between self-reported health, attachment to green space, and the availability of accessible and usable green spaces. Data were collected via paper-mailed surveys in two neighborhoods (n = 223) of a medium-sized Dutch city in the Netherlands. These neighborhoods differ in the perceived and objectively measured accessibility and usability of green spaces, but are matched in the physically available amount of urban green space, as well as in demographic and socio-economic status, and housing conditions. Four dimensions of green space attachment were identified through confirmatory factor analysis: place dependence, affective attachment, place identity and social bonding. The results show greater attachment to local green space and better self-reported mental health in the neighborhood with higher availability of accessible and usable green spaces. The two neighborhoods did not differ, however, in physical and general health. Structural Equation Modelling confirmed the neighborhood differences in green space attachment and mental health, and also revealed a positive path from green space attachment to mental health. These findings convey the message that we should make green places, instead of green spaces.",2015,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,12,11,14342-14363,WOS:000365645500048,10.3390/ijerph121114342,,#25,Zhang 2015,
